tone_label,L_value,R,G,B,source_file
Fair,254.0,254,254,254,allCategories.csv
Fair,253.5,254,254,253,allCategories.csv
Fair,253.0,253,253,253,allCategories.csv
Fair,253.0,254,253,252,allCategories.csv
Fair,252.5,253,252,252,allCategories.csv
Fair,252.0,253,252,251,allCategories.csv
Fair,252.0,252,252,252,allCategories.csv
Fair,251.5,252,252,251,allCategories.csv
Fair,251.5,252,251,251,allCategories.csv
Fair,251.5,253,251,250,allCategories.csv
Fair,251.0,251,251,251,allCategories.csv
Fair,251.0,252,251,250,allCategories.csv
Fair,251.0,253,251,249,allCategories.csv
Fair,250.5,253,250,248,allCategories.csv
Fair,249.5,250,250,249,allCategories.csv
Fair,249.0,252,249,246,allShades.csv
Fair,249.0,249,249,249,allCategories.csv
Fair,248.5,249,249,248,allCategories.csv
Fair,248.0,249,248,247,allCategories.csv
Fair,247.5,249,247,246,allCategories.csv
Fair,247.0,249,247,245,allCategories.csv
Fair,245.5,254,243,237,allCategories.csv
Fair,244.5,254,247,235,allCategories.csv
Fair,244.0,254,243,234,allCategories.csv
Fair,243.0,244,243,242,allCategories.csv
Fair,242.5,244,243,241,allCategories.csv
Fair,242.25,253,236,228,shades.csv
Fair,242.0,242,242,242,allNumbers.csv
Fair,241.5,243,243,240,allCategories.csv
Fair,241.5,255,238,228,allCategories.csv
Fair,240.5,252,240,229,allCategories.csv
Fair,240.0,254,237,226,allCategories.csv
Fair,240.0,250,242,230,allNumbers.csv
Fair,239.7,253,233,222,shades.csv
Fair,239.7,249,236,197,shades.csv
Fair,239.7,249,235,205,shades.csv
Fair,239.5,252,236,227,allCategories.csv
Fair,239.5,249,239,230,allNumbers.csv
Fair,239.5,253,242,226,allCategories.csv
Fair,239.0,253,238,225,allCategories.csv
Fair,239.0,246,239,232,allCategories.csv
Fair,239.0,253,236,225,allCategories.csv
Fair,238.5,253,239,224,allCategories.csv
Fair,238.5,249,239,228,allNumbers.csv
Fair,238.0,249,239,227,allCategories.csv
Fair,238.0,247,234,229,allCategories.csv
Fair,237.5,254,236,221,allCategories.csv
Fair,237.5,254,234,221,allCategories.csv
Fair,237.5,249,236,226,allNumbers.csv
Fair,237.5,245,239,230,allCategories.csv
Fair,237.15,253,231,218,shades.csv
Fair,237.0,253,235,221,allCategories.csv
Fair,237.0,252,234,222,allCategories.csv
Fair,237.0,254,235,220,allCategories.csv
Fair,237.0,252,238,222,allShades.csv
Fair,237.0,247,238,227,allCategories.csv
Fair,237.0,250,237,224,allCategories.csv
Fair,236.5,254,231,219,allCategories.csv
Fair,236.5,254,237,219,allCategories.csv
Fair,236.5,248,234,225,allCategories.csv
Fair,236.5,252,239,221,allCategories.csv
Fair,236.0,249,230,223,allNumbers.csv
Fair,236.0,250,231,222,allCategories.csv
Fair,236.0,250,232,222,allCategories.csv
Fair,235.5,253,233,218,allCategories.csv
Fair,235.5,254,234,217,allShades.csv
Fair,235.5,255,226,216,allCategories.csv
Fair,235.5,252,231,219,allCategories.csv
Fair,235.5,252,235,219,allCategories.csv
Fair,235.0,251,233,219,allCategories.csv
Fair,235.0,247,233,223,allCategories.csv
Fair,235.0,254,219,216,allNumbers.csv
Fair,235.0,247,234,223,allCategories.csv
Fair,234.6,255,227,194,shades.csv
Fair,234.6,253,227,204,shades.csv
Fair,234.6,249,227,213,shades.csv
Fair,234.5,251,224,218,allShades.csv
Fair,234.5,245,233,224,allNumbers.csv
Fair,234.5,250,236,219,allCategories.csv
Fair,234.5,251,235,218,allCategories.csv
Fair,234.5,251,231,218,allCategories.csv
Fair,234.0,253,229,215,allCategories.csv
Fair,234.0,252,218,216,allNumbers.csv
Fair,234.0,254,234,214,allCategories.csv
Fair,234.0,249,233,219,allCategories.csv
Fair,234.0,253,231,215,allCategories.csv
Fair,234.0,247,231,221,allCategories.csv
Fair,234.0,252,231,216,allCategories.csv
Fair,234.0,251,238,217,allCategories.csv
Fair,234.0,253,230,215,allCategories.csv
Fair,234.0,253,233,215,allCategories.csv
Fair,234.0,252,237,216,allCategories.csv
Fair,233.5,246,232,221,allCategories.csv
Fair,233.5,254,234,213,allCategories.csv
Fair,233.5,251,233,216,allCategories.csv
Fair,233.0,252,231,214,allCategories.csv
Fair,233.0,248,229,218,allCategories.csv
Fair,233.0,249,230,217,allNumbers.csv
Fair,232.5,251,231,214,allShades.csv
Fair,232.5,254,228,211,allCategories.csv
Fair,232.5,253,229,212,allCategories.csv
Fair,232.5,247,230,218,allNumbers.csv
Fair,232.5,254,227,211,allCategories.csv
Fair,232.5,250,228,215,allCategories.csv
Fair,232.5,253,233,212,allCategories.csv
Fair,232.5,240,232,225,allNumbers.csv
Fair,232.5,248,233,217,allCategories.csv
Fair,232.5,251,230,214,allCategories.csv
Fair,232.5,254,235,211,allCategories.csv
Fair,232.05,246,226,199,shades.csv
Fair,232.05,252,225,198,shades.csv
Fair,232.05,243,226,206,shades.csv
Fair,232.05,255,224,205,shades.csv
Fair,232.0,254,227,210,allCategories.csv
Fair,232.0,249,228,215,allNumbers.csv
Fair,232.0,253,230,211,allCategories.csv
Fair,232.0,252,218,212,allCategories.csv
Fair,232.0,252,223,212,allCategories.csv
Fair,232.0,246,229,218,allCategories.csv
Fair,232.0,247,231,217,allCategories.csv
Fair,232.0,246,232,218,allCategories.csv
Fair,232.0,251,228,213,allShades.csv
Fair,231.5,249,228,214,allCategories.csv
Fair,231.5,248,231,215,allCategories.csv
Fair,231.5,255,227,208,allCategories.csv
Fair,231.5,242,231,221,allCategories.csv
Fair,231.5,254,228,209,allCategories.csv
Fair,231.5,251,227,212,allCategories.csv
Fair,231.5,248,226,215,allCategories.csv
Fair,231.5,246,230,217,allCategories.csv
Fair,231.5,244,231,219,allNumbers.csv
Fair,231.0,246,222,216,allNumbers.csv
Fair,231.0,253,235,209,allCategories.csv
Fair,231.0,244,233,218,allCategories.csv
Fair,231.0,253,228,209,allCategories.csv
Fair,231.0,254,227,208,allShades.csv
Fair,231.0,244,226,218,allCategories.csv
Fair,231.0,246,229,216,allCategories.csv
Fair,231.0,247,230,215,allCategories.csv
Fair,231.0,243,234,219,allCategories.csv
Fair,231.0,246,228,216,allCategories.csv
Fair,231.0,254,233,208,allCategories.csv
Fair,230.5,246,228,215,allCategories.csv
Fair,230.5,245,229,216,allCategories.csv
Fair,230.5,243,230,218,allCategories.csv
Fair,230.5,251,230,210,allCategories.csv
Fair,230.5,244,230,217,allCategories.csv
Fair,230.5,254,228,207,allCategories.csv
Fair,230.5,249,230,212,allCategories.csv
Fair,230.5,255,221,206,allCategories.csv
Fair,230.5,245,228,216,allShades.csv
Fair,230.5,249,223,212,allShades.csv
Fair,230.5,253,226,208,allCategories.csv
Fair,230.0,253,227,207,allCategories.csv
Fair,230.0,243,230,217,allCategories.csv
Fair,230.0,250,228,210,allCategories.csv
Fair,230.0,245,232,215,allShades.csv
Fair,230.0,251,230,209,allCategories.csv
Fair,230.0,241,231,219,allNumbers.csv
Fair,230.0,243,227,217,allCategories.csv
Fair,230.0,248,227,212,allCategories.csv
Fair,230.0,249,220,211,allCategories.csv
Fair,230.0,251,227,209,allCategories.csv
Fair,230.0,250,226,210,allCategories.csv
Fair,230.0,250,224,210,allCategories.csv
Fair,230.0,255,219,205,allCategories.csv
Fair,230.0,246,228,214,allCategories.csv
Fair,230.0,250,230,210,allCategories.csv
Fair,229.5,255,225,204,allCategories.csv
Fair,229.5,245,224,200,shades.csv
Fair,229.5,244,223,201,shades.csv
Fair,229.5,244,232,215,allShades.csv
Fair,229.5,241,224,218,allCategories.csv
Fair,229.5,247,220,202,shades.csv
Fair,229.5,253,220,187,shades.csv
Fair,229.5,240,231,219,allNumbers.csv
Fair,229.5,248,219,211,allShades.csv
Fair,229.5,243,232,216,allCategories.csv
Fair,229.5,255,220,190,shades.csv
Fair,229.5,251,227,208,allCategories.csv
Fair,229.5,244,224,215,allCategories.csv
Fair,229.5,248,227,211,allCategories.csv
Fair,229.5,250,220,200,shades.csv
Fair,229.5,247,231,212,allNumbers.csv
Fair,229.5,255,219,194,shades.csv
Fair,229.5,246,229,213,allCategories.csv
Fair,229.5,246,226,213,allCategories.csv
Fair,229.5,245,226,214,allNumbers.csv
Fair,229.5,247,227,212,allCategories.csv
Fair,229.0,244,232,214,allShades.csv
Fair,229.0,246,227,212,allCategories.csv
Fair,229.0,243,223,215,allCategories.csv
Fair,229.0,247,229,211,allNumbers.csv
Fair,229.0,251,227,207,allCategories.csv
Fair,229.0,241,230,217,allCategories.csv
Fair,229.0,254,227,204,allCategories.csv
Fair,229.0,252,224,206,allCategories.csv
Fair,228.5,242,226,215,allCategories.csv
Fair,228.5,250,225,207,allCategories.csv
Fair,228.5,243,224,214,allShades.csv
Fair,228.5,247,229,210,allShades.csv
Fair,228.5,252,231,205,allCategories.csv
Fair,228.5,239,227,218,allCategories.csv
Fair,228.5,247,230,210,allCategories.csv
Fair,228.0,250,224,206,allCategories.csv
Fair,228.0,243,231,213,allShades.csv
Fair,228.0,245,227,211,allNumbers.csv
Fair,228.0,246,222,210,allCategories.csv
Fair,228.0,242,228,214,allCategories.csv
Fair,227.5,246,229,209,allCategories.csv
Fair,227.5,248,227,207,allNumbers.csv
Fair,227.5,253,226,202,allCategories.csv
Fair,227.5,241,227,214,allCategories.csv
Fair,227.5,239,227,216,allCategories.csv
Fair,227.5,244,225,211,allCategories.csv
Fair,227.0,243,220,211,allCategories.csv
Fair,227.0,227,227,227,allCategories.csv
Fair,227.0,244,224,210,allNumbers.csv
Fair,227.0,254,222,200,allCategories.csv
Fair,227.0,239,223,215,allShades.csv
Fair,227.0,249,223,205,allCategories.csv
Fair,227.0,240,223,214,allCategories.csv
Fair,227.0,244,227,210,allCategories.csv
Fair,227.0,246,229,208,allCategories.csv
Fair,227.0,255,230,199,allCategories.csv
Fair,227.0,238,226,216,allCategories.csv
Fair,227.0,243,227,211,allCategories.csv
Fair,227.0,244,223,210,allCategories.csv
Fair,226.95,255,216,185,shades.csv
Fair,226.95,249,218,189,shades.csv
Fair,226.95,242,218,193,shades.csv
Fair,226.95,252,214,199,shades.csv
Fair,226.95,255,214,186,shades.csv
Fair,226.95,242,219,187,shades.csv
Fair,226.95,243,219,188,shades.csv
Fair,226.95,243,218,188,shades.csv
Fair,226.95,252,219,168,shades.csv
Fair,226.95,245,218,182,shades.csv
Fair,226.95,255,215,180,shades.csv
Fair,226.5,242,219,211,allCategories.csv
Fair,226.5,247,217,206,allCategories.csv
Fair,226.5,239,224,214,allCategories.csv
Fair,226.5,241,230,212,allCategories.csv
Fair,226.5,244,225,209,allCategories.csv
Fair,226.5,250,226,203,allCategories.csv
Fair,226.5,247,226,206,allCategories.csv
Fair,226.5,252,230,201,allCategories.csv
Fair,226.5,253,219,200,allCategories.csv
Fair,226.5,243,228,210,allCategories.csv
Fair,226.5,254,220,199,allCategories.csv
Fair,226.5,243,222,210,allCategories.csv
Fair,226.5,249,230,204,allNumbers.csv
Fair,226.5,249,231,204,allCategories.csv
Fair,226.0,247,227,205,allCategories.csv
Fair,226.0,253,220,199,allCategories.csv
Fair,226.0,245,223,207,allShades.csv
Fair,226.0,253,223,199,allNumbers.csv
Fair,226.0,255,215,197,allCategories.csv
Fair,226.0,239,222,213,allCategories.csv
Fair,226.0,240,223,212,allCategories.csv
Fair,225.5,233,226,218,allCategories.csv
Fair,225.5,244,223,207,allCategories.csv
Fair,225.5,254,218,197,allCategories.csv
Fair,225.5,245,226,206,allCategories.csv
Fair,225.5,255,227,196,allCategories.csv
Fair,225.5,255,221,196,allCategories.csv
Fair,225.5,239,221,212,allCategories.csv
Fair,225.5,246,220,205,allCategories.csv
Fair,225.0,242,225,208,allCategories.csv
Fair,225.0,236,224,214,allCategories.csv
Fair,225.0,253,216,197,allCategories.csv
Fair,225.0,244,221,206,allCategories.csv
Fair,225.0,238,223,212,allCategories.csv
Fair,225.0,242,220,208,allCategories.csv
Fair,225.0,252,214,198,allCategories.csv
Fair,225.0,255,222,195,allNumbers.csv
Fair,224.5,255,212,194,allCategories.csv
Fair,224.5,239,225,210,allCategories.csv
Fair,224.5,253,221,196,allCategories.csv
Fair,224.5,241,219,208,allCategories.csv
Fair,224.5,243,218,206,allCategories.csv
Fair,224.5,245,216,204,allCategories.csv
Fair,224.5,242,223,207,allCategories.csv
Fair,224.4,250,216,167,shades.csv
Fair,224.4,255,211,190,shades.csv
Fair,224.4,247,213,187,shades.csv
Fair,224.4,249,213,195,shades.csv
Fair,224.4,250,213,184,shades.csv
Fair,224.4,253,213,180,shades.csv
Fair,224.0,245,228,203,allCategories.csv
Fair,224.0,246,216,202,allCategories.csv
Fair,224.0,251,217,197,allCategories.csv
Fair,224.0,240,220,208,allCategories.csv
Fair,224.0,249,220,199,allShades.csv
Fair,224.0,247,219,201,allNumbers.csv
Fair,223.5,252,219,195,allNumbers.csv
Fair,223.5,244,218,203,allCategories.csv
Fair,223.5,255,212,192,allCategories.csv
Fair,223.5,247,228,200,allNumbers.csv
Fair,223.5,238,221,209,allCategories.csv
Fair,223.5,253,221,194,allNumbers.csv
Fair,223.5,253,230,194,allShades.csv
Fair,223.5,254,217,193,allCategories.csv
Fair,223.0,250,212,196,allNumbers.csv
Fair,223.0,248,223,198,allNumbers.csv
Fair,223.0,249,216,197,allShades.csv
Fair,223.0,252,219,194,allCategories.csv
Fair,223.0,242,223,204,allCategories.csv
Fair,223.0,241,222,205,allCategories.csv
Fair,223.0,251,215,195,allCategories.csv
Fair,223.0,248,219,198,allCategories.csv
Fair,223.0,255,225,191,allCategories.csv
Fair,223.0,235,221,211,allCategories.csv
Fair,222.5,252,211,193,allCategories.csv
Fair,222.5,237,223,208,allCategories.csv
Fair,222.5,253,217,192,allCategories.csv
Fair,222.5,235,221,210,allCategories.csv
Fair,222.5,235,225,210,allCategories.csv
Fair,222.5,250,227,195,allCategories.csv
Fair,222.0,241,223,203,allCategories.csv
Fair,222.0,252,212,192,allCategories.csv
Fair,222.0,250,220,194,allCategories.csv
Fair,222.0,245,214,199,allCategories.csv
Fair,221.85,252,209,167,shades.csv
Fair,221.85,253,207,173,shades.csv
Fair,221.85,247,209,188,shades.csv
Fair,221.85,246,210,187,shades.csv
Fair,221.85,251,210,173,shades.csv
Fair,221.85,244,214,164,shades.csv
Fair,221.5,247,216,196,allCategories.csv
Fair,221.5,235,223,208,allCategories.csv
Fair,221.5,241,222,202,allNumbers.csv
Fair,221.5,236,219,207,allCategories.csv
Fair,221.5,247,212,196,allCategories.csv
Fair,221.5,243,218,200,allCategories.csv
Fair,221.5,247,223,196,allCategories.csv
Fair,221.0,246,216,196,allCategories.csv
